CBSAFP,CSAFP,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,Year,CBSA Name,Parameter Name,CBSA Code,Arithmetic Mean,Units of Measure,State Name,Max AQI,90th Percentile AQI,Median AQI,Latitude,Longitude,Days with AQI
10300.0,220.0,310M400US10300,10300.0,"Adrian, MI",M2,1941541486.0,30482189.0,2011,"Adrian, MI",Ozone,10300,48.313,Parts per billion,Michigan,154.0,76.0,44.0,41.995568,-83.946559,241.0
10300.0,220.0,310M400US10300,10300.0,"Adrian, MI",M2,1941541486.0,30482189.0,2011,"Adrian, MI",Various Particulates,10300,0.144626,Micrograms/cubic meter (LC),Michigan,154.0,76.0,44.0,41.995568,-83.946559,241.0
10420.0,184.0,310M400US10420,10420.0,"Akron, OH",M1,2331552026.0,62086003.0,2011,"Akron, OH",Carbon monoxide,10420,123.41300000000001,Parts per billion,Ohio,150.0,72.0,44.0,41.093376,-81.50988749999999,365.0
10420.0,184.0,310M400US10420,10420.0,"Akron, OH",M1,2331552026.0,62086003.0,2011,"Akron, OH",Ozone,10420,42.6785,Parts per billion,Ohio,150.0,72.0,44.0,41.144476,-81.41701649999999,365.0
10420.0,184.0,310M400US10420,10420.0,"Akron, OH",M1,2331552026.0,62086003.0,2011,"Akron, OH",Sulfur dioxide,10420,3.211961,Parts per billion,Ohio,150.0,72.0,44.0,41.080266,-81.516228,365.0
10580.0,104.0,310M400US10580,10580.0,"Albany-Schenectady-Troy, NY",M1,7282214082.0,172506034.0,2011,"Albany-Schenectady-Troy, NY",Carbon monoxide,10580,292.0725,Parts per billion,New York,140.0,65.0,42.0,42.68075,-73.75733,365.0
10580.0,104.0,310M400US10580,10580.0,"Albany-Schenectady-Troy, NY",M1,7282214082.0,172506034.0,2011,"Albany-Schenectady-Troy, NY",Ozone,10580,39.485,Parts per billion,New York,140.0,65.0,42.0,42.79045,-73.703115,365.0
10580.0,104.0,310M400US10580,10580.0,"Albany-Schenectady-Troy, NY",M1,7282214082.0,172506034.0,2011,"Albany-Schenectady-Troy, NY",Sulfur dioxide,10580,1.939896,Parts per billion,New York,140.0,65.0,42.0,42.78189,-73.75733,365.0
10740.0,106.0,310M400US10740,10740.0,"Albuquerque, NM",M1,24043709785.0,31770733.0,2011,"Albuquerque, NM",Carbon monoxide,10740,474.294,Parts per billion,New Mexico,293.0,100.0,63.0,35.118476,-106.5995075,365.0
10740.0,106.0,310M400US10740,10740.0,"Albuquerque, NM",M1,24043709785.0,31770733.0,2011,"Albuquerque, NM",Nitric oxides,10740,13.325903,Parts per billion,New Mexico,293.0,100.0,63.0,35.1343,-106.5852,365.0
10740.0,106.0,310M400US10740,10740.0,"Albuquerque, NM",M1,24043709785.0,31770733.0,2011,"Albuquerque, NM",Nitrogen dioxide (NO2),10740,21.078649,Parts per billion,New Mexico,293.0,100.0,63.0,35.1343,-106.5852,365.0
10740.0,106.0,310M400US10740,10740.0,"Albuquerque, NM",M1,24043709785.0,31770733.0,2011,"Albuquerque, NM",Ozone,10740,47.4065,Parts per billion,New Mexico,293.0,100.0,63.0,35.099185000000006,-106.67727,365.0
10740.0,106.0,310M400US10740,10740.0,"Albuquerque, NM",M1,24043709785.0,31770733.0,2011,"Albuquerque, NM",Sulfur dioxide,10740,0.42777050000000005,Parts per billion,New Mexico,293.0,100.0,63.0,35.1343,-106.5852,365.0
10900.0,408.0,310M400US10900,10900.0,"Allentown-Bethlehem-Easton, PA-NJ",M1,3762849882.0,58422466.0,2011,"Allentown-Bethlehem-Easton, PA-NJ",Carbon monoxide,10900,159.102,Parts per billion,Pennsylvania,154.0,85.0,54.0,40.628056,-75.341111,365.0
10900.0,408.0,310M400US10900,10900.0,"Allentown-Bethlehem-Easton, PA-NJ",M1,3762849882.0,58422466.0,2011,"Allentown-Bethlehem-Easton, PA-NJ",Nitric oxides,10900,22.583955,Parts per billion,New Jersey,154.0,85.0,54.0,40.776318,-75.204463,365.0
10900.0,408.0,310M400US10900,10900.0,"Allentown-Bethlehem-Easton, PA-NJ",M1,3762849882.0,58422466.0,2011,"Allentown-Bethlehem-Easton, PA-NJ",Nitrogen dioxide (NO2),10900,18.624178,Parts per billion,New Jersey,154.0,85.0,54.0,40.776318,-75.204463,365.0
10900.0,408.0,310M400US10900,10900.0,"Allentown-Bethlehem-Easton, PA-NJ",M1,3762849882.0,58422466.0,2011,"Allentown-Bethlehem-Easton, PA-NJ",Ozone,10900,42.071,Parts per billion,New Jersey,154.0,85.0,54.0,40.66014,-75.28913349999999,365.0
10900.0,408.0,310M400US10900,10900.0,"Allentown-Bethlehem-Easton, PA-NJ",M1,3762849882.0,58422466.0,2011,"Allentown-Bethlehem-Easton, PA-NJ",Sulfur dioxide,10900,2.9724155000000003,Parts per billion,New Jersey,154.0,85.0,54.0,40.808402,-75.1524855,365.0
11020.0,,310M400US11020,11020.0,"Altoona, PA",M1,1361819110.0,3281614.0,2011,"Altoona, PA",Ozone,11020,43.312999999999995,Parts per billion,Pennsylvania,159.0,74.0,46.0,40.535278,-78.370833,365.0
11020.0,,310M400US11020,11020.0,"Altoona, PA",M1,1361819110.0,3281614.0,2011,"Altoona, PA",Sulfur dioxide,11020,2.926704,Parts per billion,Pennsylvania,159.0,74.0,46.0,40.535278,-78.370833,365.0
